episode,time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward,total_reward,average_reward
63,8.279999999999912,-150.0,-25.6226218269,64.6486696572,4.65897324393,2.54464724061,0.0,-32.2132451888,14.5556416823,-86.0543553653,-0.248658879293,0.164035847261,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,129.530179897,28671.0048433,207.760904662
64,7.559999999999927,-11.2045706004,52.376160754,300.0,1.58986095043,0.101396998702,0.0,-5.30623050009,16.990489966,446.063875225,0.364377295008,0.242279218205,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-63.708882554,24156.1480552,191.715460755
65,7.499999999999928,16.7353074027,85.9834171584,300.0,1.6990029761,5.61613941117,0.0,15.2727109064,75.4408563172,475.203682849,0.172510078178,-0.215593059622,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-73.2989950001,23334.3564781,186.674851825
66,10.019999999999875,124.530859652,83.792308829,240.244716736,0.239140019095,0.0396983284578,0.0,15.5028794669,13.2181577161,25.714033659,0.169120313003,0.162144719349,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-10.0536773646,27552.3507454,164.9841362
67,10.019999999999875,-13.3672299579,-122.307775728,213.572751702,4.33437631944,1.82084567767,0.0,-29.1997742563,-22.2720747181,-4.33161527016,-0.349151234637,0.873905847525,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,47.2943936002,28635.1101573,171.467725493
68,5.51999999999997,150.0,-150.0,300.0,5.29154689497,4.05021331078,0.0,2835.09051666,-3263.60588941,2228.86294129,-0.274560905496,-0.707914917308,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-82.4571584645,18975.7915928,206.25860427
69,7.439999999999929,-150.0,16.7082900092,58.4024542791,4.24999280947,1.02245331063,0.0,-31.720807712,8.31473808623,-47.6398957743,-0.725992525731,-0.484777901504,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,122.791316863,25659.2318822,206.929289373
70,8.39999999999991,130.910561797,-150.0,41.5086811827,3.5105455346,4.39735578826,0.0,222.067681087,-280.012947948,-606.007633778,-0.294238549718,-0.318609654305,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,76.2877563247,28330.9937684,202.364241203
71,5.399999999999973,45.9173468724,59.9713543274,300.0,1.86931053669,5.62155636978,0.0,29.4297955586,395.230575142,1466.67231757,0.491324078302,0.24879122327,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-50.6710291122,18191.3166656,202.125740729
72,9.839999999999879,-122.870809348,21.9631630451,0.0,5.16752777047,4.37636832763,0.0,18.476789144,-52.7034461074,-148.930507057,-0.432804272411,0.550082982839,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,65.6808081474,32589.0216632,198.713546727
73,6.239999999999955,-25.5520173176,0.722810974427,300.0,1.28058411255,1.05309686362,0.0,-21.6487081643,-267.082279757,956.219777158,0.036112132659,0.200861317506,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-55.8943026262,20764.1644584,199.655427485
74,9.179999999999893,-46.091980375,-150.0,284.651338192,0.26587994881,5.73294423601,0.0,-18.3848056901,-281.019969834,119.767373518,-0.0124322577569,-0.0896581161579,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-78.7016515065,26420.387679,172.682272412
75,5.0399999999999805,150.0,150.0,300.0,0.895619770837,4.10676550206,0.0,24457.7331339,28342.2704939,23655.7655804,0.507963034428,-0.645902661273,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-134.030584363,16809.6550428,200.114940986
76,5.339999999999974,51.7587051376,150.0,300.0,2.10087042161,3.78163948423,0.0,13.8043552495,7126.09751338,12861.3869646,0.704801060497,-0.899628465312,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-100.816635542,17784.1049855,199.821404331
77,6.599999999999947,-44.2169163516,-150.0,57.5654000167,3.57721849839,4.99930685006,0.0,-55.1391924773,-118.224326268,-166.248633598,-0.482383103256,-0.576763020784,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,120.231840773,23319.1421335,211.992201214
78,6.839999999999942,80.6972810742,-137.615673232,300.0,5.6243851774,4.63533836331,0.0,223.342327451,-1726.86047817,2273.95708151,-0.0673234407235,-0.179156045942,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-99.1166983896,22151.6678333,194.31287573
79,10.019999999999875,112.139099498,-36.2362509999,215.174847434,3.81248302639,6.01942308239,0.0,16.4156577376,-30.0208177165,-11.3379399435,-0.604869770876,-0.182247079748,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,48.0171862286,28107.3009265,168.307191176
80,9.179999999999893,150.0,-0.807392851029,212.011326137,5.21458581135,4.12623972487,0.0,58.0059002995,-28.6491761053,13.4368539969,-0.147705468906,-0.0522179818894,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,31.1009659081,26835.395577,175.394742334
81,7.679999999999924,-150.0,67.843444334,204.097064209,1.64461422522,6.17711082031,0.0,-216.20748776,52.4175664711,31.1735283725,0.317662290495,-0.01343238586,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,34.8082441608,24947.1897866,194.899920208
82,5.699999999999966,85.3214738668,21.4505608437,300.0,1.32352668962,4.15893390131,0.0,129.544934012,-194.016396981,1427.3618731,0.274912561628,-0.554554923922,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-76.039185368,18593.8512512,195.724750012
83,8.39999999999991,66.3413785154,42.8467806279,300.0,0.278463614316,4.3709527363,0.0,106.586572692,85.9939652986,271.887303484,-0.0819191285327,-0.469010175828,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-65.042008994,25734.3251261,183.816608043
84,9.839999999999879,-150.0,-57.6944288915,138.75356061,4.64581221203,2.19682807091,0.0,-34.2630564051,6.46268508885,-36.3815019626,-0.168245828897,0.146737862375,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,115.620126739,30689.0820931,187.128549348
85,7.6199999999999255,-115.981402343,70.5247249556,300.0,2.15029178004,2.32800473146,0.0,-24.6480945073,428.243964502,711.38751703,0.154360751302,0.526085194,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-95.6270437165,23406.2980582,184.301559514
86,5.579999999999969,150.0,150.0,275.582822306,1.48253022947,3.99485884708,0.0,2913.30200056,3432.38832804,777.120358116,0.565653091864,-0.52923746277,0.0,480.950488544985,482.0554243260081,482.3034639985007,479.8982552737003,-84.6040999598,18494.2679079,198.863095784
